python main_dfan.py --dataset mnist --model mlp --epochs 500 --gpu 0 --num_channels 1 --local_bs 10 --frac 0.1 --local_ep 1 --momentum 0.5 --lr_S 0.1 --lr_G 0.01 --ensemble_mode 1
MLP(
  (layer_input): Linear(in_features=784, out_features=200, bias=True)
  (relu): ReLU()
  (layer_hidden1): Linear(in_features=200, out_features=200, bias=True)
  (layer_hidden2): Linear(in_features=200, out_features=10, bias=True)
)
Round   0, Devices participated 10, Average loss 0.287, Central accuracy on global test data 43.872, Ensemble accuracy on global test data 22.510, Local accuracy on global train data 11.675, Local accuracy on local train data 95.050
Round   1, Devices participated 10, Average loss 0.182, Central accuracy on global test data 59.155, Ensemble accuracy on global test data 45.776, Local accuracy on global train data 22.729, Local accuracy on local train data 95.600
Round   2, Devices participated 10, Average loss 0.119, Central accuracy on global test data 49.634, Ensemble accuracy on global test data 68.164, Local accuracy on global train data 33.906, Local accuracy on local train data 97.250
Round   3, Devices participated 10, Average loss 0.103, Central accuracy on global test data 40.967, Ensemble accuracy on global test data 59.497, Local accuracy on global train data 29.802, Local accuracy on local train data 98.150
Round   4, Devices participated 10, Average loss 0.171, Central accuracy on global test data 40.918, Ensemble accuracy on global test data 53.369, Local accuracy on global train data 28.796, Local accuracy on local train data 97.433
Round   5, Devices participated 10, Average loss 0.098, Central accuracy on global test data 38.745, Ensemble accuracy on global test data 46.460, Local accuracy on global train data 26.685, Local accuracy on local train data 98.733
Round   6, Devices participated 10, Average loss 0.212, Central accuracy on global test data 48.120, Ensemble accuracy on global test data 47.559, Local accuracy on global train data 26.938, Local accuracy on local train data 97.767
Round   7, Devices participated 10, Average loss 0.249, Central accuracy on global test data 38.647, Ensemble accuracy on global test data 40.601, Local accuracy on global train data 29.673, Local accuracy on local train data 98.100
Round   8, Devices participated 10, Average loss 0.346, Central accuracy on global test data 39.648, Ensemble accuracy on global test data 53.882, Local accuracy on global train data 32.585, Local accuracy on local train data 97.633
Round   9, Devices participated 10, Average loss 0.130, Central accuracy on global test data 49.951, Ensemble accuracy on global test data 60.547, Local accuracy on global train data 38.997, Local accuracy on local train data 98.550
Round  10, Devices participated 10, Average loss 0.160, Central accuracy on global test data 53.345, Ensemble accuracy on global test data 57.031, Local accuracy on global train data 44.736, Local accuracy on local train data 98.350
Round  11, Devices participated 10, Average loss 0.319, Central accuracy on global test data 60.986, Ensemble accuracy on global test data 65.015, Local accuracy on global train data 40.701, Local accuracy on local train data 97.583
Round  12, Devices participated 10, Average loss 0.135, Central accuracy on global test data 54.370, Ensemble accuracy on global test data 58.374, Local accuracy on global train data 42.126, Local accuracy on local train data 98.133
Round  13, Devices participated 10, Average loss 0.292, Central accuracy on global test data 53.174, Ensemble accuracy on global test data 59.961, Local accuracy on global train data 34.275, Local accuracy on local train data 97.517
Round  14, Devices participated 10, Average loss 0.123, Central accuracy on global test data 45.142, Ensemble accuracy on global test data 59.473, Local accuracy on global train data 43.162, Local accuracy on local train data 98.633
